symbol,name,ipo_date,open_price,First Six Perf,Last Six Perf,Last 30 Perf,Last 14 Perf
FOUR,Shift4 Payments,2020-06-05 00:00:00,33.1,0.15709969788519623,0.15709969788519623,-0.08263473053892223,-0.08263473053892223
ZI,ZoomInfo Technologies,2020-06-04 00:00:00,40.0,0.021749999999999936,0.021749999999999936,-0.09918448313863787,-0.09918448313863787
PLRX,Pliant Therapeutics,2020-06-03 00:00:00,25.0,-0.06840000000000003,-0.06840000000000003,-0.16851124598357736,-0.16851124598357736
WMG,Warner Music Group,2020-06-03 00:00:00,27.0,0.11666666666666661,0.11666666666666661,-0.08247108947048086,-0.08247108947048086
NARI,Inari Medical,2020-05-22 00:00:00,41.3,0.36125907990314776,0.36125907990314776,0.16711646252854467,0.16711646252854467
SLQT,SelectQuote,2020-05-21 00:00:00,26.2,-0.3171755725190839,-0.3171755725190839,-0.30334890965732086,-0.30334890965732086
ADCT,ADC Therapeutics SA,2020-05-18 00:00:00,30.0,0.55,0.55,0.12048192771084337,0.12048192771084337
AYLA,Ayala Pharmaceuticals,2020-05-08 00:00:00,15.66,-0.148786717752235,-0.148786717752235,0.2492970946579194,0.2492970946579194
CLEU,China Liberal Education Holdings,2020-05-08 00:00:00,5.0,-0.2596,-0.2596,-0.2300332778702163,-0.2300332778702163
KC,Kingsoft Cloud Holdings,2020-05-08 00:00:00,20.37,0.7231222385861561,0.7231222385861561,0.3402061855670103,0.3402061855670103
LYRA,Lyra Therapeutics,2020-05-01 00:00:00,22.0,-0.3909090909090909,-0.3909090909090909,0.041181041181041274,0.041181041181041274
ORIC,ORIC Pharmaceuticals,2020-04-24 00:00:00,26.0,-0.22807692307692307,-0.22807692307692307,-0.4117819460726846,-0.4117819460726846
KROS,Keros Therapeutics,2020-04-08 00:00:00,20.85,0.539568345323741,0.539568345323741,-0.16666666666666669,-0.16666666666666669
ZNTL,Zentalis Pharmaceuticals,2020-04-03 00:00:00,25.0,0.38,0.38,-0.3505271084337349,-0.3505271084337349
WIMI,WiMi Hologram Cloud,2020-04-01 00:00:00,6.0,0.11500000000000006,0.11500000000000006,0.9224137931034484,0.9224137931034484
IMRA,IMARA Inc.,2020-03-12 00:00:00,14.0,0.4421428571428572,0.4421428571428572,-0.535968742817743,-0.535968742817743
GFL,GFL Environmental Holdings,2020-03-03 00:00:00,17.48,0.23569794050343254,0.23569794050343254,0.17583015786608602,0.17583015786608602
PASG,Passage BIO,2020-02-28 00:00:00,22.27,-0.2977099236641221,-0.2977099236641221,-0.5361803084223012,-0.5361803084223012
ZCMD,ZHONGCHAO,2020-02-25 00:00:00,3.8,-0.36578947368421044,-0.36578947368421044,0.10550458715596328,0.10550458715596328
GRIL,Muscle Maker,2020-02-13 00:00:00,4.698,-0.5487441464452959,-0.5487441464452959,-0.049327354260089634,-0.049327354260089634
RVMD,Revolution Medicines,2020-02-13 00:00:00,28.21,-0.14498404820985467,-0.14498404820985467,-0.35936254980079674,-0.35936254980079674
HUIZ,Huize Holding Ltd.,2020-02-12 00:00:00,10.75,-0.16279069767441862,-0.16279069767441862,0.2587412587412587,0.2587412587412587
NREF,NexPoint Real Estate Finance,2020-02-07 00:00:00,18.01,-0.1171571349250417,-0.1171571349250417,-0.02989627821842588,-0.02989627821842588
ONEW,OneWater Marine,2020-02-07 00:00:00,15.02,0.6644474034620507,0.6644474034620507,0.10472823685373403,0.10472823685373403
BEAM,Beam Therapeutics,2020-02-06 00:00:00,24.0,-0.19416666666666668,-0.19416666666666668,-0.2915750915750916,-0.2915750915750916
CSPR,Casper Sleep,2020-02-06 00:00:00,14.5,-0.36344827586206896,-0.36344827586206896,0.051252847380410145,0.051252847380410145
PPD,PPD,2020-02-06 00:00:00,30.99,-0.05227492739593409,-0.05227492739593409,0.09182156133829006,0.09182156133829006
SDGR,Schrodinger,2020-02-06 00:00:00,26.0,1.7838461538461536,1.7838461538461536,-0.03570476951771925,-0.03570476951771925
ONEM,1Life Healthcare,2020-01-31 00:00:00,18.0,0.645,0.645,-0.17197986577181204,-0.17197986577181204
ARQT,Arcutis Biotherapeutics,2020-01-31 00:00:00,23.05,0.15835140997830796,0.15835140997830796,-0.2100591715976331,-0.2100591715976331
REYN,Reynolds Consumer Products,2020-01-31 00:00:00,27.34,0.24579370885149973,0.24579370885149973,-0.0026354319180086766,-0.0026354319180086766
ANPC,AnPac Bio-Medical Science,2020-01-31 00:00:00,10.99,-0.42220200181983625,-0.42220200181983625,-0.14535666218034995,-0.14535666218034995
BDTX,Black Diamond Therapeutics,2020-01-31 00:00:00,37.04,-0.24892008639308852,-0.24892008639308852,-0.3275320280396422,-0.3275320280396422
ANVS,Annovis Bio,2020-01-31 00:00:00,6.98,-0.16905444126074506,-0.16905444126074506,0.20833333333333334,0.20833333333333334
IMAB,I-MAB,2020-01-17 00:00:00,14.75,1.1661016949152543,1.1661016949152543,0.03164352599289637,0.03164352599289637
LIZI,LIZHI,2020-01-17 00:00:00,11.03,-0.5058930190389845,-0.5058930190389845,-0.08862876254180606,-0.08862876254180606
DNK,Phoenix Tree Holdings Ltd.,2020-01-17 00:00:00,13.5,-0.3785185185185185,-0.3785185185185185,-0.026682134570765507,-0.026682134570765507
VEL,Velocity Financial,2020-01-17 00:00:00,13.85,-0.732129963898917,-0.732129963898917,-0.07940446650124076,-0.07940446650124076
MKD,Molecular Data,2019-12-31 00:00:00,5.82,-0.6219931271477663,-0.6219931271477663,-0.05982905982905969,-0.05982905982905969
INDO,Indonesia Energy Corp Ltd.,2019-12-19 00:00:00,11.0,-0.5731818181818181,-0.5731818181818181,-0.22255340288127165,-0.22255340288127165
MNPR,Monopar Therapeutics,2019-12-19 00:00:00,8.35,-0.1209580838323353,-0.1209580838323353,-0.10596833130328878,-0.10596833130328878
OCFT,OneConnect Financial Technology,2019-12-16 00:00:00,10.0,1.3920000000000001,1.3920000000000001,0.18709677419354856,0.18709677419354856
SPT,Sprout Social,2019-12-13 00:00:00,18.05,0.6005540166204986,0.6005540166204986,0.030681412772029945,0.030681412772029945
BILL,Bill.com Holdings,2019-12-12 00:00:00,37.25,1.4995973154362416,1.4995973154362416,0.13687423687423678,0.13687423687423678
EH,EHang Holdings Ltd.,2019-12-13 00:00:00,12.45,-0.33172690763052204,-0.33172690763052204,-0.29491525423728815,-0.29491525423728815
XP,XP Inc.,2019-12-11 00:00:00,32.75,0.4198473282442748,0.4198473282442748,-0.01524777636594661,-0.01524777636594661
LMPX,LMP Automotive Holdings,2019-12-05 00:00:00,5.0,0.532,0.532,-0.22469635627530368,-0.22469635627530368
PINE,Alpine Income Property Trust,2019-11-22 00:00:00,18.2,-0.2285714285714286,-0.2285714285714286,-0.1370620774431469,-0.1370620774431469
CAN,Canaan,2019-11-20 00:00:00,9.0,-0.7222222222222222,-0.7222222222222222,0.31578947368421056,0.31578947368421056
SITM,SiTime,2019-11-20 00:00:00,13.0,3.088461538461538,3.088461538461538,0.14918918918918916,0.14918918918918916
YAYO,YayYo,2019-11-13 00:00:00,4.25,-0.9141176470588235,-0.9141176470588235,-0.4131832797427653,-0.4131832797427653
ETNB,89bio,2019-11-11 00:00:00,20.0,0.4545,0.460576923076923,0.32086956521739124,0.32086956521739124
KRKR,36Kr Holdings,2019-11-08 00:00:00,13.0,-0.7523076923076922,-0.7542113323124043,-0.23933649289099523,-0.23933649289099523
CNSP,CNS Pharmaceuticals,2019-11-08 00:00:00,4.188,-0.5487106017191977,-0.5929978118161925,-0.1877729257641921,-0.1877729257641921
MOHO,ECMOHO Ltd.,2019-11-08 00:00:00,10.1,-0.787128712871287,-0.7831683168316832,-0.17669172932330834,-0.17669172932330834
TELA,TELA Bio,2019-11-08 00:00:00,13.75,-0.11199999999999993,-0.12808988764044937,-0.4851835471030517,-0.4851835471030517
CNTG,Centogene B.V.,2019-11-07 00:00:00,14.25,-0.08701754385964913,-0.08764367816091959,-0.3336831059811123,-0.3336831059811123
GRTX,Galera Therapeutics,2019-11-07 00:00:00,12.5,-0.3824,-0.423841059602649,-0.18596491228070183,-0.18596491228070183
SI,Silvergate Capital,2019-11-07 00:00:00,12.75,0.10666666666666662,0.020149253731343252,-0.06943498978897206,-0.06943498978897206
